 [12.10.2017 18:43:17] Player ";;;" earned 7 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:45:18] Player ";;;" earned 4 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:45:36] Player ";;;" earned 2 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:45:51] Player ";;;" earned 7 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:46:38] Player ";;;" earned 3 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:46:59] Player ";;;" earned 33 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:47:49] Player ";;;" earned 4 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:47:54] Player ";;;" earned 3 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:48:14] Player ";;;" earned 2 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:48:26] Player ";;;" earned 1 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:48:31] Player ";;;" earned 6 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:49:24] Player ";;;" earned 4 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:49:48] Player ";;;" earned 15 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:50:55] Player ";;;" earned 8 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:51:8] Player ";;;" earned 11 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:51:21] Player ";;;" earned 4 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:52:19] Player ";;;" earned 2 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 18:52:32] Player ";;;" earned 51 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:4:34] Player ";;;" earned 4 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:4:55] Player ";;;" earned 4 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:6:7] Player ";;;" earned 6 points(W - 76, L - 45, gW - 26, S - 2)
